stamp,x,y,qx,qy,qz,qw
3217.787000,11.136419,2.947094,0.000000,0.000000,-0.011105,0.999938
3217.988000,11.237325,2.939846,0.000000,0.000000,-0.079159,0.996862
3218.122000,11.306548,2.924731,0.000000,0.000000,-0.131544,0.991310
3218.323000,11.413518,2.887791,0.000000,0.000000,-0.193761,0.981049
3218.525000,11.516992,2.840206,0.000000,0.000000,-0.245314,0.969444
3218.793000,11.645303,2.763781,0.000000,0.000000,-0.285068,0.958507
3219.062000,11.766245,2.681088,0.000000,0.000000,-0.310157,0.950685
3219.330000,11.885575,2.590269,0.000000,0.000000,-0.329828,0.944041
3219.597000,11.999967,2.495463,0.000000,0.000000,-0.346874,0.937912
3219.869000,12.112972,2.399418,0.000000,0.000000,-0.348612,0.937267
3220.134000,12.217976,2.305883,0.000000,0.000000,-0.348461,0.937323
3220.408000,12.331796,2.209572,0.000000,0.000000,-0.337678,0.941262
3220.676000,12.445607,2.113676,0.000000,0.000000,-0.339730,0.940523
3220.944000,12.562286,2.015768,0.000000,0.000000,-0.341016,0.940057
3221.212000,12.675233,1.924274,0.000000,0.000000,-0.334557,0.942376
3221.483000,12.795108,1.829513,0.000000,0.000000,-0.332416,0.943133
3221.755000,12.916400,1.736127,0.000000,0.000000,-0.322666,0.946513
3222.022000,13.034849,1.640549,0.000000,0.000000,-0.321945,0.946758
3222.291000,13.158289,1.551788,0.000000,0.000000,-0.326677,0.945136
3222.560000,13.273603,1.459071,0.000000,0.000000,-0.331679,0.943392
3222.833000,13.394551,1.357689,0.000000,0.000000,-0.319728,0.947509
3223.102000,13.513344,1.269247,0.000000,0.000000,-0.299522,0.954089
3223.373000,13.615181,1.200012,0.000000,0.000000,-0.287227,0.957863
3223.775000,13.728761,1.129743,0.000000,0.000000,-0.264963,0.964259
3224.378000,13.834769,1.069163,0.000000,0.000000,-0.243000,0.970026
3225.386000,13.921088,1.025584,0.000000,0.000000,-0.189572,0.981867
3225.587000,13.924914,1.026790,0.000000,0.000000,-0.125106,0.992143
3225.721000,13.926215,1.029912,0.000000,0.000000,-0.067398,0.997726
3225.855000,13.927612,1.034240,0.000000,0.000000,-0.003782,0.999993
3225.989000,13.928457,1.033908,0.000000,0.000000,0.060347,0.998177
3226.123000,13.935030,1.033197,0.000000,0.000000,0.119971,0.992777
3226.256000,13.934239,1.031984,0.000000,0.000000,0.178931,0.983862
3226.390000,13.933422,1.037269,0.000000,0.000000,0.239922,0.970792
3226.525000,13.936076,1.033633,0.000000,0.000000,0.298822,0.954309
3226.659000,13.934576,1.032274,0.000000,0.000000,0.356784,0.934187
3226.792000,13.931112,1.035381,0.000000,0.000000,0.407695,0.913118
3226.994000,13.933515,1.037201,0.000000,0.000000,0.470882,0.882196
3227.195000,13.933156,1.035487,0.000000,0.000000,0.518632,0.854997
3227.463000,13.931228,1.038829,0.000000,0.000000,0.568256,0.822852
3227.798000,13.930340,1.036674,0.000000,0.000000,0.618567,0.785732
3228.066000,13.930756,1.037103,0.000000,0.000000,0.659634,0.751587
