stamp,x,y,qx,qy,qz,qw
3158.541000,2.163523,0.946041,0.000000,0.000000,0.064289,0.997931
3158.743000,2.272599,0.958999,0.000000,0.000000,0.074784,0.997200
3158.944000,2.375091,0.971706,0.000000,0.000000,0.080177,0.996781
3159.146000,2.477304,0.986115,0.000000,0.000000,0.082110,0.996623
3159.345000,2.589343,1.002197,0.000000,0.000000,0.083769,0.996485
3159.548000,2.701603,1.019937,0.000000,0.000000,0.080419,0.996761
3159.760000,2.810470,1.036163,0.000000,0.000000,0.088525,0.996074
3159.969000,2.914476,1.047334,0.000000,0.000000,0.086565,0.996246
3160.169000,3.014808,1.063940,0.000000,0.000000,0.084073,0.996460
3160.376000,3.123323,1.083990,0.000000,0.000000,0.089651,0.995973
3160.579000,3.234936,1.099662,0.000000,0.000000,0.092241,0.995737
3160.779000,3.335215,1.119608,0.000000,0.000000,0.094629,0.995513
3160.980000,3.434277,1.137225,0.000000,0.000000,0.094445,0.995530
3161.186000,3.533558,1.153193,0.000000,0.000000,0.085573,0.996332
3161.386000,3.630139,1.169909,0.000000,0.000000,0.089192,0.996014
3161.587000,3.729144,1.187862,0.000000,0.000000,0.091175,0.995835
3161.792000,3.827373,1.206987,0.000000,0.000000,0.090457,0.995900
3161.996000,3.922069,1.220487,0.000000,0.000000,0.088438,0.996082
3162.197000,4.019020,1.237186,0.000000,0.000000,0.081116,0.996705
3162.398000,4.114960,1.246561,0.000000,0.000000,0.055447,0.998462
3162.599000,4.225451,1.256616,0.000000,0.000000,0.028438,0.999596
3162.800000,4.324186,1.251653,0.000000,0.000000,0.005784,0.999983
3163.002000,4.434596,1.252242,0.000000,0.000000,-0.003084,0.999995
3163.204000,4.549146,1.252228,0.000000,0.000000,-0.009356,0.999956
3163.405000,4.658959,1.250351,0.000000,0.000000,-0.012433,0.999923
3163.605000,4.762030,1.249643,0.000000,0.000000,-0.008094,0.999967
3163.806000,4.866106,1.250424,0.000000,0.000000,-0.000388,1.000000
3164.008000,4.974655,1.249135,0.000000,0.000000,0.001379,0.999999
3164.208000,5.079604,1.243796,0.000000,0.000000,0.000797,1.000000
3164.410000,5.185033,1.238152,0.000000,0.000000,-0.005231,0.999986
3164.615000,5.297815,1.239265,0.000000,0.000000,-0.008734,0.999962
3164.817000,5.404131,1.239045,0.000000,0.000000,-0.009765,0.999952
3165.017000,5.514152,1.239355,0.000000,0.000000,-0.009576,0.999954
3165.224000,5.624056,1.239225,0.000000,0.000000,-0.012618,0.999920
3165.425000,5.724374,1.234120,0.000000,0.000000,-0.012083,0.999927
3165.625000,5.837492,1.233199,0.000000,0.000000,-0.013528,0.999908
3165.826000,5.951197,1.229922,0.000000,0.000000,-0.017259,0.999851
3166.026000,6.048825,1.231417,0.000000,0.000000,-0.015938,0.999873
3166.228000,6.155525,1.231524,0.000000,0.000000,-0.014920,0.999889
3166.430000,6.267521,1.223933,0.000000,0.000000,-0.011636,0.999932
3166.630000,6.375579,1.218185,0.000000,0.000000,-0.008919,0.999960
3166.831000,6.487982,1.217143,0.000000,0.000000,-0.009542,0.999954
3167.032000,6.594860,1.216985,0.000000,0.000000,-0.010784,0.999942
3167.235000,6.699419,1.212527,0.000000,0.000000,-0.011121,0.999938
3167.435000,6.804969,1.208789,0.000000,0.000000,-0.009973,0.999950
3167.637000,6.909992,1.209694,0.000000,0.000000,-0.006107,0.999981
3167.840000,7.025232,1.212347,0.000000,0.000000,-0.004212,0.999991
3168.040000,7.126525,1.214050,0.000000,0.000000,-0.000945,1.000000
3168.242000,7.226387,1.217631,0.000000,0.000000,0.001725,0.999999
3168.443000,7.332021,1.216830,0.000000,0.000000,0.001555,0.999999
3168.644000,7.436389,1.214517,0.000000,0.000000,0.000244,1.000000
3168.847000,7.545680,1.215186,0.000000,0.000000,-0.000678,1.000000
3169.048000,7.651419,1.210910,0.000000,0.000000,-0.002393,0.999997
3169.249000,7.758136,1.204356,0.000000,0.000000,-0.003670,0.999993
3169.450000,7.854519,1.208191,0.000000,0.000000,-0.002866,0.999996
3169.651000,7.961657,1.204531,0.000000,0.000000,-0.002928,0.999996
3169.852000,8.068988,1.200714,0.000000,0.000000,-0.002575,0.999997
3170.054000,8.184234,1.197593,0.000000,0.000000,0.000184,1.000000
3170.257000,8.295481,1.194712,0.000000,0.000000,0.000485,1.000000
3170.458000,8.408563,1.191872,0.000000,0.000000,0.009444,0.999955
3170.659000,8.514522,1.192578,0.000000,0.000000,0.022014,0.999758
3170.860000,8.620894,1.195794,0.000000,0.000000,0.035769,0.999360
3171.061000,8.732117,1.211067,0.000000,0.000000,0.059909,0.998204
3171.262000,8.841532,1.226646,0.000000,0.000000,0.073785,0.997274
3171.463000,8.952768,1.243073,0.000000,0.000000,0.084526,0.996421
3171.664000,9.053790,1.262530,0.000000,0.000000,0.105270,0.994444
3171.872000,9.163795,1.288851,0.000000,0.000000,0.114030,0.993477
3172.072000,9.264924,1.316895,0.000000,0.000000,0.124023,0.992279
3172.275000,9.363909,1.340909,0.000000,0.000000,0.127976,0.991777
3172.476000,9.467358,1.365448,0.000000,0.000000,0.121909,0.992541
3172.749000,9.578006,1.393160,0.000000,0.000000,0.124185,0.992259
3173.085000,9.688653,1.420360,0.000000,0.000000,0.126527,0.991963
3173.554000,9.808373,1.447515,0.000000,0.000000,0.137107,0.990556
3174.228000,9.904638,1.474693,0.000000,0.000000,0.127277,0.991867
3174.763000,9.919155,1.481313,0.000000,0.000000,0.070581,0.997506
3176.046000,9.922957,1.486924,0.000000,0.000000,0.054896,0.998492
