stamp,x,y,qx,qy,qz,qw
3029.312000,13.867361,2.972913,0.000000,0.000000,-0.019675,0.999806
3029.515000,13.833847,2.976262,0.000000,0.000000,-0.091327,0.995821
3029.648000,13.813513,2.983726,0.000000,0.000000,-0.144394,0.989520
3029.783000,13.822303,2.978616,0.000000,0.000000,-0.207173,0.978304
3029.917000,13.829923,2.976297,0.000000,0.000000,-0.264680,0.964336
3030.051000,13.838119,2.972276,0.000000,0.000000,-0.326092,0.945338
3030.185000,13.849919,2.966192,0.000000,0.000000,-0.381828,0.924233
3030.320000,13.847821,2.963574,0.000000,0.000000,-0.437818,0.899063
3030.453000,13.853569,2.948568,0.000000,0.000000,-0.490827,0.871257
3030.589000,13.869509,2.921435,0.000000,0.000000,-0.540454,0.841374
3030.723000,13.888610,2.873481,0.000000,0.000000,-0.591293,0.806457
3030.856000,13.900217,2.822042,0.000000,0.000000,-0.639662,0.768656
3030.992000,13.903415,2.773252,0.000000,0.000000,-0.685496,0.728076
3031.126000,13.898774,2.725482,0.000000,0.000000,-0.736340,0.676612
3031.261000,13.892633,2.670207,0.000000,0.000000,-0.780720,0.624882
3031.395000,13.874278,2.612169,0.000000,0.000000,-0.820632,0.571458
3031.532000,13.846436,2.550924,0.000000,0.000000,-0.857048,0.515236
3031.666000,13.811024,2.493732,0.000000,0.000000,-0.886317,0.463079
3031.798000,13.767477,2.438179,0.000000,0.000000,-0.914022,0.405664
3031.934000,13.715897,2.391965,0.000000,0.000000,-0.937756,0.347295
3032.067000,13.659838,2.346930,0.000000,0.000000,-0.955065,0.296398
3032.268000,13.570491,2.294459,0.000000,0.000000,-0.970447,0.241313
3032.469000,13.475604,2.243487,0.000000,0.000000,-0.981596,0.190969
3032.671000,13.371121,2.206441,0.000000,0.000000,-0.988942,0.148302
3032.874000,13.263368,2.174927,0.000000,0.000000,-0.993200,0.116424
3033.075000,13.161671,2.151265,0.000000,0.000000,-0.995305,0.096790
3033.277000,13.056290,2.133212,0.000000,0.000000,-0.995680,0.092853
3033.478000,12.955393,2.114652,0.000000,0.000000,-0.995946,0.089951
3033.678000,12.851371,2.096017,0.000000,0.000000,-0.996600,0.082386
3033.880000,12.747487,2.080775,0.000000,0.000000,-0.996506,0.083521
3034.080000,12.645476,2.062976,0.000000,0.000000,-0.996438,0.084325
3034.282000,12.532723,2.047086,0.000000,0.000000,-0.996639,0.081915
3034.483000,12.425195,2.024289,0.000000,0.000000,-0.996538,0.083134
3034.684000,12.323669,2.006334,0.000000,0.000000,-0.996911,0.078545
3034.884000,12.216558,1.994479,0.000000,0.000000,-0.997096,0.076151
3035.086000,12.106758,1.977796,0.000000,0.000000,-0.997015,0.077202
3035.289000,11.997917,1.960037,0.000000,0.000000,-0.996769,0.080321
3035.489000,11.886488,1.940993,0.000000,0.000000,-0.995982,0.089558
3035.692000,11.787142,1.924086,0.000000,0.000000,-0.995217,0.097694
3035.892000,11.680961,1.901712,0.000000,0.000000,-0.995171,0.098152
3036.092000,11.577392,1.881353,0.000000,0.000000,-0.994946,0.100414
3036.294000,11.471459,1.860078,0.000000,0.000000,-0.994717,0.102651
3036.496000,11.370499,1.838293,0.000000,0.000000,-0.994324,0.106390
3036.698000,11.265193,1.816038,0.000000,0.000000,-0.994080,0.108655
3036.899000,11.158419,1.792263,0.000000,0.000000,-0.993385,0.114831
3037.100000,11.050050,1.767547,0.000000,0.000000,-0.993868,0.110575
3037.300000,10.943632,1.741608,0.000000,0.000000,-0.993648,0.112536
3037.502000,10.847162,1.721515,0.000000,0.000000,-0.993664,0.112387
3037.703000,10.744290,1.697734,0.000000,0.000000,-0.993853,0.110712
3037.905000,10.642231,1.674022,0.000000,0.000000,-0.994556,0.104202
3038.106000,10.531658,1.647172,0.000000,0.000000,-0.994415,0.105541
3038.307000,10.434442,1.627981,0.000000,0.000000,-0.993950,0.109836
3038.508000,10.327521,1.603139,0.000000,0.000000,-0.994303,0.106595
3038.776000,10.208142,1.578491,0.000000,0.000000,-0.995477,0.095007
3039.117000,10.088315,1.555148,0.000000,0.000000,-0.995919,0.090253
3039.519000,9.990189,1.538256,0.000000,0.000000,-0.996780,0.080179
3040.134000,9.890701,1.521843,0.000000,0.000000,-0.996326,0.085639
3040.604000,9.879693,1.520522,0.000000,0.000000,-0.999414,0.034219
3041.542000,9.880739,1.516932,0.000000,0.000000,-0.997344,0.072838
3041.877000,9.708565,1.499341,0.000000,0.000000,-0.999964,0.008522
3041.944000,9.690056,1.467779,0.000000,0.000000,-1.000000,0.000225
3042.145000,9.695030,1.482184,0.000000,0.000000,-0.999975,0.007052
3043.351000,9.456303,1.441091,0.000000,0.000000,-0.997406,0.071981
3043.553000,9.250905,1.380182,0.000000,0.000000,-0.987608,0.156943
3043.695000,9.102556,1.340131,0.000000,0.000000,-0.977673,0.210132
3043.889000,8.955135,1.300033,0.000000,0.000000,-0.961720,0.274033
3044.163000,8.813693,1.200970,0.000000,0.000000,-0.945116,0.326735
3044.431000,8.683106,1.091397,0.000000,0.000000,-0.933100,0.359617
3044.699000,8.574610,1.000123,0.000000,0.000000,-0.921827,0.387601
3044.967000,8.459319,0.899377,0.000000,0.000000,-0.916565,0.399885
3045.239000,8.351799,0.790906,0.000000,0.000000,-0.912143,0.409871
3045.508000,8.262948,0.679131,0.000000,0.000000,-0.910884,0.412663
3045.778000,8.171587,0.576536,0.000000,0.000000,-0.911967,0.410263
3046.045000,8.080282,0.471532,0.000000,0.000000,-0.915240,0.402909
3046.347000,7.972952,0.356866,0.000000,0.000000,-0.917276,0.398251
3046.615000,7.878173,0.254680,0.000000,0.000000,-0.922054,0.387061
3046.883000,7.774092,0.150902,0.000000,0.000000,-0.925116,0.379686
3047.152000,7.675514,0.052884,0.000000,0.000000,-0.925387,0.379025
3047.491000,7.547658,-0.076474,0.000000,0.000000,-0.920908,0.389779
3047.759000,7.442359,-0.184339,0.000000,0.000000,-0.922021,0.387141
3048.027000,7.335987,-0.279554,0.000000,0.000000,-0.926023,0.377467
3048.295000,7.237851,-0.375464,0.000000,0.000000,-0.930010,0.367535
3048.566000,7.129471,-0.473886,0.000000,0.000000,-0.930986,0.365054
3048.834000,7.028455,-0.561134,0.000000,0.000000,-0.936197,0.351476
3049.105000,6.917749,-0.650786,0.000000,0.000000,-0.947988,0.318307
3049.373000,6.807288,-0.729966,0.000000,0.000000,-0.957064,0.289878
3049.640000,6.690648,-0.798382,0.000000,0.000000,-0.965005,0.262230
3049.909000,6.560758,-0.868293,0.000000,0.000000,-0.971349,0.237659
3050.179000,6.436184,-0.924983,0.000000,0.000000,-0.975874,0.218333
3050.448000,6.305995,-0.982347,0.000000,0.000000,-0.981768,0.190085
3050.717000,6.174065,-1.033318,0.000000,0.000000,-0.981037,0.193821
3050.984000,6.043983,-1.087548,0.000000,0.000000,-0.983228,0.182379
3051.253000,5.906290,-1.138943,0.000000,0.000000,-0.982767,0.184848
3051.458000,5.812925,-1.174168,0.000000,0.000000,-0.984446,0.175686
3051.728000,5.683602,-1.220692,0.000000,0.000000,-0.984458,0.175619
3052.000000,5.557658,-1.265502,0.000000,0.000000,-0.984250,0.176780
3052.269000,5.419541,-1.316235,0.000000,0.000000,-0.984068,0.177795
3052.536000,5.289167,-1.361402,0.000000,0.000000,-0.983485,0.180991
3052.737000,5.187139,-1.400702,0.000000,0.000000,-0.984758,0.173932
3053.005000,5.046913,-1.448979,0.000000,0.000000,-0.986794,0.161982
3053.214000,4.949607,-1.478349,0.000000,0.000000,-0.988317,0.152411
3053.415000,4.846252,-1.508949,0.000000,0.000000,-0.989392,0.145267
3053.617000,4.737974,-1.535877,0.000000,0.000000,-0.991154,0.132720
3053.821000,4.623528,-1.564533,0.000000,0.000000,-0.992052,0.125830
3054.021000,4.515348,-1.592350,0.000000,0.000000,-0.991099,0.133129
3054.222000,4.414201,-1.618191,0.000000,0.000000,-0.991852,0.127394
3054.425000,4.309844,-1.644672,0.000000,0.000000,-0.992703,0.120586
3054.625000,4.198674,-1.670956,0.000000,0.000000,-0.992840,0.119456
3054.826000,4.090520,-1.696727,0.000000,0.000000,-0.993255,0.115954
3055.027000,3.986449,-1.719560,0.000000,0.000000,-0.993083,0.117411
3055.228000,3.878191,-1.747701,0.000000,0.000000,-0.993158,0.116780
3055.442000,3.762272,-1.771490,0.000000,0.000000,-0.992681,0.120765
3055.642000,3.659181,-1.794519,0.000000,0.000000,-0.993255,0.115952
3055.843000,3.555805,-1.821956,0.000000,0.000000,-0.993253,0.115963
3056.044000,3.447092,-1.843107,0.000000,0.000000,-0.994356,0.106090
3056.245000,3.345295,-1.870696,0.000000,0.000000,-0.992530,0.122003
3056.452000,3.234756,-1.894805,0.000000,0.000000,-0.991355,0.131208
3056.647000,3.122598,-1.927134,0.000000,0.000000,-0.990165,0.139907
3056.848000,3.017385,-1.958271,0.000000,0.000000,-0.988812,0.149170
3057.049000,2.920318,-1.992017,0.000000,0.000000,-0.988838,0.148998
3057.251000,2.822242,-2.024542,0.000000,0.000000,-0.988445,0.151581
3057.451000,2.722160,-2.058982,0.000000,0.000000,-0.988813,0.149162
3057.652000,2.610603,-2.090248,0.000000,0.000000,-0.990107,0.140313
3057.858000,2.506603,-2.120772,0.000000,0.000000,-0.989771,0.142667
3058.058000,2.401419,-2.150751,0.000000,0.000000,-0.989872,0.141965
3058.260000,2.292984,-2.182033,0.000000,0.000000,-0.989091,0.147306
3058.463000,2.192142,-2.212579,0.000000,0.000000,-0.989350,0.145558
