stamp,x,y,qx,qy,qz,qw
3120.309000,1.117582,-2.478158,0.000000,0.000000,-0.009036,0.999959
3120.510000,1.211044,-2.473160,0.000000,0.000000,0.048253,0.998835
3120.711000,1.320865,-2.455926,0.000000,0.000000,0.109909,0.993942
3120.912000,1.422512,-2.428470,0.000000,0.000000,0.159528,0.987193
3121.114000,1.522182,-2.392885,0.000000,0.000000,0.204125,0.978945
3121.385000,1.650485,-2.331269,0.000000,0.000000,0.226766,0.973949
3121.654000,1.771413,-2.264479,0.000000,0.000000,0.230822,0.972996
3121.921000,1.900483,-2.196928,0.000000,0.000000,0.235375,0.971905
3122.189000,2.030128,-2.127613,0.000000,0.000000,0.237582,0.971367
3122.457000,2.151716,-2.065564,0.000000,0.000000,0.233482,0.972361
3122.724000,2.266251,-2.000831,0.000000,0.000000,0.236057,0.971739
3123.000000,2.401743,-1.930685,0.000000,0.000000,0.235180,0.971952
3123.270000,2.530229,-1.862205,0.000000,0.000000,0.239487,0.970900
3123.535000,2.653819,-1.797285,0.000000,0.000000,0.240527,0.970642
3123.803000,2.776013,-1.734346,0.000000,0.000000,0.234459,0.972126
3124.073000,2.904866,-1.674786,0.000000,0.000000,0.235533,0.971866
3124.340000,3.032700,-1.607386,0.000000,0.000000,0.231259,0.972892
3124.608000,3.165365,-1.541823,0.000000,0.000000,0.232939,0.972491
3124.876000,3.294101,-1.476433,0.000000,0.000000,0.233453,0.972368
3125.144000,3.419803,-1.406505,0.000000,0.000000,0.231304,0.972881
3125.412000,3.551505,-1.345778,0.000000,0.000000,0.212430,0.977176
3125.680000,3.684755,-1.288187,0.000000,0.000000,0.189934,0.981797
3125.881000,3.783725,-1.247543,0.000000,0.000000,0.167512,0.985870
3126.082000,3.887895,-1.211592,0.000000,0.000000,0.149079,0.988825
3126.285000,3.989933,-1.180193,0.000000,0.000000,0.129401,0.991592
3126.493000,4.105648,-1.158928,0.000000,0.000000,0.107350,0.994221
3126.696000,4.211522,-1.136523,0.000000,0.000000,0.091743,0.995783
3126.898000,4.322269,-1.115140,0.000000,0.000000,0.074617,0.997212
3127.099000,4.437718,-1.099281,0.000000,0.000000,0.060025,0.998197
3127.299000,4.538490,-1.088273,0.000000,0.000000,0.052040,0.998645
3127.500000,4.644437,-1.072891,0.000000,0.000000,0.048431,0.998827
3127.700000,4.753284,-1.066167,0.000000,0.000000,0.055207,0.998475
3127.904000,4.877115,-1.055574,0.000000,0.000000,0.054672,0.998504
3128.105000,4.984170,-1.043820,0.000000,0.000000,0.060698,0.998156
3128.307000,5.095765,-1.032189,0.000000,0.000000,0.065054,0.997882
3128.508000,5.205761,-1.014786,0.000000,0.000000,0.065837,0.997830
3128.709000,5.318262,-0.997280,0.000000,0.000000,0.093646,0.995606
3128.915000,5.431083,-0.975092,0.000000,0.000000,0.134748,0.990880
3129.118000,5.532805,-0.944369,0.000000,0.000000,0.177924,0.984044
3129.319000,5.630495,-0.904985,0.000000,0.000000,0.210002,0.977701
3129.588000,5.750831,-0.831758,0.000000,0.000000,0.267066,0.963678
3129.788000,5.837916,-0.776756,0.000000,0.000000,0.318841,0.947808
3130.463000,5.940705,-0.678388,0.000000,0.000000,0.378510,0.925597
3130.735000,6.036106,-0.573040,0.000000,0.000000,0.439357,0.898313
3130.869000,6.077464,-0.520092,0.000000,0.000000,0.483441,0.875377
3131.003000,6.111210,-0.462729,0.000000,0.000000,0.533748,0.845644
3131.472000,6.140120,-0.388908,0.000000,0.000000,0.583356,0.812217
3131.675000,6.163312,-0.290541,0.000000,0.000000,0.641966,0.766733
3131.809000,6.172947,-0.224365,0.000000,0.000000,0.692632,0.721291
3131.942000,6.166934,-0.151766,0.000000,0.000000,0.742055,0.670339
3132.077000,6.155252,-0.078410,0.000000,0.000000,0.787829,0.615894
3132.211000,6.128946,-0.008269,0.000000,0.000000,0.828913,0.559377
3132.346000,6.093518,0.066030,0.000000,0.000000,0.866604,0.498996
3132.482000,6.053684,0.126819,0.000000,0.000000,0.901531,0.432716
3132.626000,5.998882,0.191044,0.000000,0.000000,0.929144,0.369717
3132.760000,5.943045,0.236803,0.000000,0.000000,0.947290,0.320377
3132.961000,5.850772,0.291101,0.000000,0.000000,0.965658,0.259816
3133.164000,5.745620,0.338543,0.000000,0.000000,0.977257,0.212060
3133.430000,5.612055,0.394491,0.000000,0.000000,0.987493,0.157661
3133.631000,5.506099,0.425514,0.000000,0.000000,0.991455,0.130448
3133.832000,5.394852,0.450988,0.000000,0.000000,0.993687,0.112191
3134.033000,5.292848,0.471974,0.000000,0.000000,0.994442,0.105288
3134.234000,5.185402,0.491795,0.000000,0.000000,0.995576,0.093963
3134.438000,5.077064,0.513108,0.000000,0.000000,0.995917,0.090279
3134.636000,4.979811,0.527972,0.000000,0.000000,0.996002,0.089330
3134.838000,4.876008,0.543705,0.000000,0.000000,0.995988,0.089484
3135.038000,4.769033,0.563416,0.000000,0.000000,0.995838,0.091137
3135.247000,4.663496,0.582732,0.000000,0.000000,0.995920,0.090239
3135.448000,4.554126,0.602249,0.000000,0.000000,0.995524,0.094504
3135.651000,4.449353,0.621529,0.000000,0.000000,0.995637,0.093309
3135.853000,4.347081,0.640985,0.000000,0.000000,0.995491,0.094853
3136.062000,4.247740,0.660837,0.000000,0.000000,0.995269,0.097162
