stamp,x,y,qx,qy,qz,qw
2909.535000,-6.857815,-5.060094,0.000000,0.000000,0.000576,1.000000
2909.937000,-6.867246,-5.067140,0.000000,0.000000,-0.007817,0.999969
2910.004000,-6.859244,-5.061559,0.000000,0.000000,-0.005130,0.999987
2910.071000,-6.838930,-5.058754,0.000000,0.000000,-0.005171,0.999987
2927.244000,-6.749203,-5.061068,0.000000,0.000000,0.027029,0.999635
2927.444000,-6.663724,-5.063084,0.000000,0.000000,0.076745,0.997051
2927.645000,-6.565389,-5.068450,0.000000,0.000000,0.151710,0.988425
2927.779000,-6.498286,-5.044303,0.000000,0.000000,0.201925,0.979401
2927.980000,-6.407664,-4.989773,0.000000,0.000000,0.265912,0.963997
2928.248000,-6.275742,-4.917289,0.000000,0.000000,0.302483,0.953155
2928.516000,-6.153819,-4.833229,0.000000,0.000000,0.330182,0.943917
2928.794000,-6.043353,-4.740088,0.000000,0.000000,0.344695,0.938715
2929.063000,-5.921697,-4.657221,0.000000,0.000000,0.347945,0.937515
2929.332000,-5.796554,-4.562465,0.000000,0.000000,0.342213,0.939623
2929.600000,-5.669460,-4.476550,0.000000,0.000000,0.340632,0.940197
2929.868000,-5.565403,-4.386759,0.000000,0.000000,0.338552,0.940948
2930.136000,-5.443659,-4.300247,0.000000,0.000000,0.306022,0.952024
2930.409000,-5.320243,-4.222758,0.000000,0.000000,0.287773,0.957699
2930.675000,-5.191678,-4.148688,0.000000,0.000000,0.270706,0.962662
2930.946000,-5.039667,-4.080224,0.000000,0.000000,0.251380,0.967888
2931.215000,-4.905783,-4.008719,0.000000,0.000000,0.241936,0.970292
2931.482000,-4.794888,-3.946407,0.000000,0.000000,0.234181,0.972193
2931.752000,-4.689275,-3.881949,0.000000,0.000000,0.230940,0.972968
2932.018000,-4.572124,-3.816911,0.000000,0.000000,0.233932,0.972253
2932.287000,-4.442759,-3.745915,0.000000,0.000000,0.233553,0.972344
2932.555000,-4.314263,-3.682003,0.000000,0.000000,0.233707,0.972307
2932.825000,-4.180407,-3.616441,0.000000,0.000000,0.228654,0.973508
2933.095000,-4.061506,-3.551124,0.000000,0.000000,0.231480,0.972840
2933.363000,-3.936703,-3.488172,0.000000,0.000000,0.235813,0.971798
2933.639000,-3.807600,-3.420817,0.000000,0.000000,0.232647,0.972561
2933.905000,-3.690778,-3.356754,0.000000,0.000000,0.238214,0.971213
2934.174000,-3.572262,-3.290639,0.000000,0.000000,0.231970,0.972723
2934.449000,-3.446647,-3.225403,0.000000,0.000000,0.234151,0.972200
2934.719000,-3.314423,-3.158704,0.000000,0.000000,0.236536,0.971623
2934.989000,-3.194695,-3.095842,0.000000,0.000000,0.239936,0.970789
2935.258000,-3.078608,-3.027666,0.000000,0.000000,0.229515,0.973305
2935.526000,-2.950468,-2.963663,0.000000,0.000000,0.232067,0.972700
2935.793000,-2.831091,-2.904371,0.000000,0.000000,0.223815,0.974632
2935.995000,-2.722921,-2.857937,0.000000,0.000000,0.217701,0.976015
2936.265000,-2.587263,-2.799864,0.000000,0.000000,0.216518,0.976279
2936.535000,-2.464882,-2.739974,0.000000,0.000000,0.214337,0.976760
2936.802000,-2.322427,-2.673177,0.000000,0.000000,0.215154,0.976580
2937.071000,-2.167459,-2.610481,0.000000,0.000000,0.223780,0.974640
2937.340000,-2.042424,-2.550509,0.000000,0.000000,0.225996,0.974128
2937.608000,-1.908373,-2.490776,0.000000,0.000000,0.216089,0.976374
